Duration(s),SkillName,BagName,IsValid,FailReason,Operator,Size(MB),Station,Start_Time,SkillCode
493.4,Fasten nuts onto bolts,SKILL_014_20260203_102640,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),c_becerra,19786.24,1,2026-02-03T10:26:40Z,SKILL_014
107.67,Set up a hand lamp,SKILL_013_20260202_135017,True,BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),d_vargas,3889.04,2,2026-02-02T13:50:17Z,SKILL_013
88.38,Set up a hand lamp,SKILL_013_20260202_134802,False,TOO_SHORT (88.4s < 90.0s) | BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),d_vargas,3201.24,2,2026-02-02T13:48:02Z,SKILL_013
73.33,Put pasta in jars,SKILL_012_20260202_142849,False,TOO_SHORT (73.3s < 90.0s) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),d_vargas,2716.96,2,2026-02-02T14:28:49Z,SKILL_012
138.79,Put pasta in jars,SKILL_012_20260202_142555,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),d_vargas,5140.97,2,2026-02-02T14:25:55Z,SKILL_012
228.47,Set up a hand lamp,SKILL_013_20260203_102128,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),c_becerra,8991.41,1,2026-02-03T10:21:28Z,SKILL_013
209.08,Set up a hand lamp,SKILL_013_20260203_101704,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),c_becerra,8257.05,1,2026-02-03T10:17:04Z,SKILL_013
52.53,Open locks with their keys,SKILL_020_20260202_141835,False,TOO_SHORT (52.5s < 90.0s) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),d_vargas,1929.26,2,2026-02-02T14:18:35Z,SKILL_020
138.6,Close bags with twist ties,SKILL_018_20260202_143827,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),d_vargas,5140.92,2,2026-02-02T14:38:27Z,SKILL_018
246.0,Insert allen keys in package,SKILL_005_20260202_133112,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),d_vargas,8685.36,2,2026-02-02T13:31:12Z,SKILL_005
132.71,Set Screwdriver package,SKILL_004_20260202_134153,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),d_vargas,4665.0,2,2026-02-02T13:41:53Z,SKILL_004
132.73,Set Screwdriver package,SKILL_004_20260202_133808,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),d_vargas,4478.33,2,2026-02-02T13:38:08Z,SKILL_004
163.73,Put pasta in jars,SKILL_012_20260202_142152,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),d_vargas,6057.05,2,2026-02-02T14:21:52Z,SKILL_012
112.18,Close bags with twist ties,SKILL_018_20260202_143455,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),d_vargas,4180.31,2,2026-02-02T14:34:55Z,SKILL_018
