BagName,Station,SkillID,SkillName,Operator,Start_Time,End_Time,Duration(s),Avg_MBps,Integrity,IsValid,Reason,Path
SKILL_013_20260206_141905,02,SKILL_013,Set up a hand lamp,E_MARTINEZ,2026-02-06T14:19:05Z,2026-02-06T14:21:23Z,137.92,36.72,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_013_20260206_141905/SKILL_013_20260206_141905_0.mcap
SKILL_013_20260206_142722,02,SKILL_013,Set up a hand lamp,E_MARTINEZ,2026-02-06T14:27:22Z,2026-02-06T14:29:23Z,121.22,36.48,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_013_20260206_142722/SKILL_013_20260206_142722_0.mcap
SKILL_020_20260206_141216,02,SKILL_020,Open locks with their keys,E_MARTINEZ,2026-02-06T14:12:16Z,2026-02-06T14:13:49Z,93.17,37.36,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_020_20260206_141216/SKILL_020_20260206_141216_0.mcap
SKILL_001_20260206_103623,03,SKILL_001,Organize beads per color,E_MARTINEZ,2026-02-06T10:36:23Z,2026-02-06T10:36:41Z,17.56,35.92,PASS,FALSE,TOO_SHORT (17.6s),/mnt/data00/03/batch_01/SKILL_001_20260206_103623/SKILL_001_20260206_103623_0.mcap
SKILL_020_20260206_141442,02,SKILL_020,Open locks with their keys,E_MARTINEZ,2026-02-06T14:14:42Z,2026-02-06T14:16:28Z,106.46,37.22,PASS,TRUE,,/mnt/data00/02/batch_01/SKILL_020_20260206_141442/SKILL_020_20260206_141442_0.mcap
SKILL_001_20260206_104032,03,SKILL_001,Organize beads per color,E_MARTINEZ,2026-02-06T10:40:32Z,2026-02-06T10:51:06Z,633.58,35.23,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_001_20260206_104032/SKILL_001_20260206_104032_0.mcap
SKILL_001_20260206_122409,03,SKILL_001,Organize beads per color,C_BECERRA,2026-02-06T12:24:09Z,2026-02-06T12:32:05Z,476.33,37.60,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_001_20260206_122409/SKILL_001_20260206_122409_0.mcap
SKILL_003_20260206_110852,03,SKILL_003,Organize screwdriver bits,E_MARTINEZ,2026-02-06T11:08:52Z,2026-02-06T11:12:15Z,203.68,36.76,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_003_20260206_110852/SKILL_003_20260206_110852_0.mcap
SKILL_003_20260206_111327,03,SKILL_003,Organize screwdriver bits,E_MARTINEZ,2026-02-06T11:13:27Z,2026-02-06T11:16:56Z,209.40,37.01,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_003_20260206_111327/SKILL_003_20260206_111327_0.mcap
SKILL_003_20260206_134839,03,SKILL_003,Organize screwdriver bits,C_BECERRA,2026-02-06T13:48:39Z,2026-02-06T13:52:21Z,222.37,36.97,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_003_20260206_134839/SKILL_003_20260206_134839_0.mcap
SKILL_003_20260206_135322,03,SKILL_003,Organize screwdriver bits,C_BECERRA,2026-02-06T13:53:22Z,2026-02-06T13:56:34Z,191.38,37.10,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_003_20260206_135322/SKILL_003_20260206_135322_0.mcap
SKILL_003_20260206_135712,03,SKILL_003,Organize screwdriver bits,C_BECERRA,2026-02-06T13:57:12Z,2026-02-06T13:57:14Z,1.91,36.52,PASS,FALSE,TOO_SHORT (1.9s),/mnt/data00/03/batch_01/SKILL_003_20260206_135712/SKILL_003_20260206_135712_0.mcap
SKILL_003_20260206_135714,03,SKILL_003,Organize screwdriver bits,C_BECERRA,2026-02-06T13:57:14Z,2026-02-06T13:57:15Z,0.84,36.29,PASS,FALSE,TOO_SHORT (0.8s),/mnt/data00/03/batch_01/SKILL_003_20260206_135714/SKILL_003_20260206_135714_0.mcap
SKILL_004_20260206_111906,03,SKILL_004,Set Screwdriver package,E_MARTINEZ,2026-02-06T11:19:06Z,2026-02-06T11:22:09Z,182.44,37.44,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_004_20260206_111906/SKILL_004_20260206_111906_0.mcap
SKILL_004_20260206_125523,03,SKILL_004,Set Screwdriver package,C_BECERRA,2026-02-06T12:55:23Z,2026-02-06T12:56:52Z,88.92,37.73,PASS,FALSE,TOO_SHORT (88.9s),/mnt/data00/03/batch_01/SKILL_004_20260206_125523/SKILL_004_20260206_125523_0.mcap
SKILL_004_20260206_125105,03,SKILL_004,Set Screwdriver package,C_BECERRA,2026-02-06T12:51:05Z,2026-02-06T12:54:40Z,215.20,37.53,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_004_20260206_125105/SKILL_004_20260206_125105_0.mcap
SKILL_005_20260206_105843,03,SKILL_005,Insert allen keys in package,E_MARTINEZ,2026-02-06T10:58:43Z,2026-02-06T10:58:45Z,2.51,34.40,PASS,FALSE,TOO_SHORT (2.5s),/mnt/data00/03/batch_01/SKILL_005_20260206_105843/SKILL_005_20260206_105843_0.mcap
SKILL_005_20260206_105958,03,SKILL_005,Insert allen keys in package,E_MARTINEZ,2026-02-06T10:59:58Z,2026-02-06T11:02:32Z,153.70,36.99,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_005_20260206_105958/SKILL_005_20260206_105958_0.mcap
SKILL_005_20260206_110315,03,SKILL_005,Insert allen keys in package,E_MARTINEZ,2026-02-06T11:03:15Z,2026-02-06T11:05:42Z,146.61,36.91,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_005_20260206_110315/SKILL_005_20260206_110315_0.mcap
SKILL_005_20260206_124311,03,SKILL_005,Insert allen keys in package,C_BECERRA,2026-02-06T12:43:11Z,2026-02-06T12:46:10Z,179.08,37.15,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_005_20260206_124311/SKILL_005_20260206_124311_0.mcap
SKILL_005_20260206_124628,03,SKILL_005,Insert allen keys in package,C_BECERRA,2026-02-06T12:46:28Z,2026-02-06T12:49:37Z,188.84,37.23,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_005_20260206_124628/SKILL_005_20260206_124628_0.mcap
SKILL_009_20260206_135720,03,SKILL_009,Package Cotton set,C_BECERRA,2026-02-06T13:57:20Z,2026-02-06T14:00:42Z,201.45,36.88,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_009_20260206_135720/SKILL_009_20260206_135720_0.mcap
SKILL_007_20260206_123326,03,SKILL_007,Separate tongue depressors by color,C_BECERRA,2026-02-06T12:33:26Z,2026-02-06T12:41:14Z,468.06,37.50,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_007_20260206_123326/SKILL_007_20260206_123326_0.mcap
SKILL_009_20260206_140125,03,SKILL_009,Package Cotton set,C_BECERRA,2026-02-06T14:01:25Z,2026-02-06T14:05:03Z,218.06,36.94,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_009_20260206_140125/SKILL_009_20260206_140125_0.mcap
SKILL_010_20260206_133445,03,SKILL_010,Package earphones,C_BECERRA,2026-02-06T13:34:45Z,2026-02-06T13:38:42Z,236.87,37.64,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_010_20260206_133445/SKILL_010_20260206_133445_0.mcap
SKILL_010_20260206_133940,03,SKILL_010,Package earphones,C_BECERRA,2026-02-06T13:39:40Z,2026-02-06T13:43:06Z,206.15,37.49,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_010_20260206_133940/SKILL_010_20260206_133940_0.mcap
SKILL_013_20260206_143058,03,SKILL_013,Set up a hand lamp,C_BECERRA,2026-02-06T14:30:58Z,2026-02-06T14:34:50Z,232.09,37.21,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_013_20260206_143058/SKILL_013_20260206_143058_0.mcap
SKILL_013_20260206_143539,03,SKILL_013,Set up a hand lamp,C_BECERRA,2026-02-06T14:35:39Z,2026-02-06T14:39:02Z,203.06,37.36,PASS,TRUE,,/mnt/data00/03/batch_01/SKILL_013_20260206_143539/SKILL_013_20260206_143539_0.mcap
SKILL_016_20260206_145220,03,SKILL_016,Package a sewing set,C_BECERRA,2026-02-06T14:52:20Z,2026-02-06T14:53:30Z,69.59,37.22,PASS,FALSE,TOO_SHORT (69.6s),/mnt/data00/03/batch_01/SKILL_016_20260206_145220/SKILL_016_20260206_145220_0.mcap
SKILL_016_20260206_145402,03,SKILL_016,Package a sewing set,C_BECERRA,2026-02-06T14:54:02Z,2026-02-06T14:55:00Z,57.50,37.26,PASS,FALSE,TOO_SHORT (57.5s),/mnt/data00/03/batch_01/SKILL_016_20260206_145402/SKILL_016_20260206_145402_0.mcap
SKILL_016_20260206_145540,03,SKILL_016,Package a sewing set,C_BECERRA,2026-02-06T14:55:40Z,2026-02-06T14:56:48Z,68.18,37.22,PASS,FALSE,TOO_SHORT (68.2s),/mnt/data00/03/batch_01/SKILL_016_20260206_145540/SKILL_016_20260206_145540_0.mcap
