Duration(s),StartTime,Operator,IsValid,FailReason,Station,SkillName
138.600151981,2026-02-02T14:25:55.760Z,d_vargas,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),2,Put pasta in jars
73.310094171,2026-02-02T14:28:49.512Z,d_vargas,False,TOO_SHORT (73.3s < 90.0s) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),2,Put pasta in jars
88.364443298,2026-02-02T13:48:02.940Z,d_vargas,False,TOO_SHORT (88.4s < 90.0s) | BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),2,Set up a hand lamp
107.66046186,2026-02-02T13:50:17.030Z,d_vargas,True,BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Set up a hand lamp
166.251879687,2026-02-02T13:53:01.849Z,d_vargas,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),2,Set up a hand lamp
250.557595116,2026-02-02T14:00:20.157Z,d_vargas,True,BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Set up a hand lamp
136.257639738,2026-02-02T14:31:43.028Z,d_vargas,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),2,Close bags with twist ties
112.161969708,2026-02-02T14:34:55.578Z,d_vargas,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),2,Close bags with twist ties
138.58697862,2026-02-02T14:38:27.702Z,d_vargas,True,BAD_HZ /pika_pose_r (0.0/100.0) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0),2,Close bags with twist ties
109.330872779,2026-02-02T14:15:52.264Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),2,Open locks with their keys
52.519597929,2026-02-02T14:18:35.089Z,d_vargas,False,TOO_SHORT (52.5s < 90.0s) | BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (0.0/100.0) | BAD_HZ /pika_pose_r (0.0/100.0),2,Open locks with their keys
209.062932432,2026-02-03T10:17:04.655Z,c_becerra,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),1,Set up a hand lamp
228.449163496,2026-02-03T10:21:28.420Z,c_becerra,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),1,Set up a hand lamp
493.355602735,2026-02-03T10:26:40.477Z,c_becerra,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),1,Fasten nuts onto bolts
295.021396743,2026-02-03T12:03:51.861Z,c_becerra,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),1,Close bags with twist ties
168.941205994,2026-02-03T12:09:41.203Z,c_becerra,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),1,Close bags with twist ties
183.217490404,2026-02-03T12:13:21.679Z,c_becerra,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),1,Close bags with twist ties
134.433492128,2026-02-03T14:25:04.914Z,n_mora,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0) | BAD_HZ /pika_pose_l (44.8/100.0),1,Close bags with twist ties
137.444138218,2026-02-03T14:29:48.919Z,n_mora,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),1,Close bags with twist ties
583.241468159,2026-02-03T07:05:24.862Z,d_vargas,True,BAD_HZ /camera_fisheye_r/ffmpeg (0.0/30.0),2,Organize beads per color
96.876595608,2026-02-03T09:42:00.999Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Organize beads per character
42.858078252,2026-02-03T09:43:43.724Z,d_vargas,False,TOO_SHORT (42.9s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Organize beads per character
71.074440887,2026-02-03T09:44:54.954Z,d_vargas,False,TOO_SHORT (71.1s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Organize beads per character
104.046663345,2026-02-03T09:46:33.628Z,d_vargas,True,BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Organize beads per character
53.864018906,2026-02-03T09:48:59.488Z,d_vargas,False,TOO_SHORT (53.9s < 90.0s) | BAD_HZ /camera_fisheye_l/ffmpeg (0.0/30.0),2,Organize beads per character
